Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR35308233,2025-09-16 00:03:51,2025-09-09 15:32:42,7517814,2255344200,7517814,300,695,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308233/SRR35308233.lite.1,SRX30410116,GSM9225971,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446476,SAMN51229226,simple,573,Klebsiella pneumoniae,GSM9225971,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,FA33316CD8EB4D3C39B188C8D05AB561,F8AE3788F4023E1EFD3257F3EF5D7B88
SRR35308234,2025-09-16 00:03:51,2025-09-09 15:33:00,7788497,2336549100,7788497,300,728,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308234/SRR35308234.lite.1,SRX30410115,GSM9225970,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446475,SAMN51229227,simple,573,Klebsiella pneumoniae,GSM9225970,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,CCA24081CFE9B459B125E0D63CAB6FE6,F0E62DB3EA76232C866F5C416AFE58E5
SRR35308235,2025-09-16 00:03:51,2025-09-09 15:33:03,7110744,2133223200,7110744,300,660,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308235/SRR35308235.lite.1,SRX30410114,GSM9225969,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446474,SAMN51229228,simple,573,Klebsiella pneumoniae,GSM9225969,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,509BA66C8272DADB3DACD4D6486B5C4B,EF1C68D12A675BD05812C34DE3C5EB3D
SRR35308236,2025-09-16 00:03:51,2025-09-09 15:32:47,7475799,2242739700,7475799,300,699,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308236/SRR35308236.lite.1,SRX30410113,GSM9225968,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446473,SAMN51229229,simple,573,Klebsiella pneumoniae,GSM9225968,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,CA0F0A5730267CD41CB4360E1675DF29,5D013ECC95D461302B9208D10BD65936
SRR35308237,2025-09-16 00:03:51,2025-09-09 15:32:59,7838028,2351408400,7838028,300,719,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308237/SRR35308237.lite.1,SRX30410112,GSM9225967,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446472,SAMN51229230,simple,573,Klebsiella pneumoniae,GSM9225967,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,59E82126208327259F1ECC90FA9F6795,4F2FFD09755464CE1E1644224BE4C831
SRR35308242,2025-09-16 00:03:51,2025-09-09 15:32:52,7239586,2171875800,7239586,300,663,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308242/SRR35308242.lite.1,SRX30410107,GSM9225962,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446467,SAMN51229235,simple,573,Klebsiella pneumoniae,GSM9225962,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,423AA8D9387A0A502D11C71FC9E0674D,F651EAFC2D05A744A36A6EED1ED315DA
SRR35308241,2025-09-16 00:03:51,2025-09-09 15:33:09,7369516,2210854800,7369516,300,678,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308241/SRR35308241.lite.1,SRX30410108,GSM9225963,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446468,SAMN51229234,simple,573,Klebsiella pneumoniae,GSM9225963,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,DD1026916285093F1AE6981622659F4E,FC8E3A5B8EBFA762D43D2F50A102F8E6
SRR35308240,2025-09-16 00:03:51,2025-09-09 15:33:08,7857432,2357229600,7857432,300,734,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308240/SRR35308240.lite.1,SRX30410109,GSM9225964,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446469,SAMN51229233,simple,573,Klebsiella pneumoniae,GSM9225964,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,B2E30FADF0E0D3A0F4E1679155DD6A40,BCF87EE0D228AC8337CD9938750A85AB
SRR35308239,2025-09-16 00:03:51,2025-09-09 15:33:20,10935536,3280660800,10935536,300,961,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308239/SRR35308239.lite.1,SRX30410110,GSM9225965,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446470,SAMN51229232,simple,573,Klebsiella pneumoniae,GSM9225965,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,556CCEFDD3DEEEEE8F00084FA937C048,19B7B596E882BB301E010BDEBAD8DF8B
SRR35308238,2025-09-16 00:03:51,2025-09-09 15:32:53,7597260,2279178000,7597260,300,691,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308238/SRR35308238.lite.1,SRX30410111,GSM9225966,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446471,SAMN51229231,simple,573,Klebsiella pneumoniae,GSM9225966,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,30380DAF4C1A59546F491ACD1535E0A4,7910796FB78456DE16070764002AD6C4
SRR35308244,2025-09-16 00:03:50,2025-09-09 15:33:01,7281982,2184594600,7281982,300,671,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308244/SRR35308244.lite.1,SRX30410105,GSM9225960,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446465,SAMN51229237,simple,573,Klebsiella pneumoniae,GSM9225960,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,0662F46CFAC3F971EA329944CEED8DAF,76FA43ED210A4F56438234B8C5C230C9
SRR35308243,2025-09-16 00:03:50,2025-09-09 15:32:58,7876799,2363039700,7876799,300,725,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308243/SRR35308243.lite.1,SRX30410106,GSM9225961,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP618458,PRJNA1321917,,1321917,SRS26446466,SAMN51229236,simple,573,Klebsiella pneumoniae,GSM9225961,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA2217795,,public,2379283B621A058263CF104D97957C93,A9A55747029EB34BDE528023350E61BC
